iter	Passed	Remaining
428	2848	5119
429	2855	5112
430	2860	5104
431	2867	5098
432	2873	5089
433	2879	5082
434	2885	5074
435	2891	5066
436	2901	5065
437	2907	5058
438	2913	5050
439	2919	5043
440	2925	5035
441	2931	5026
442	2938	5020
443	2944	5012
444	2950	5005
445	2956	4998
446	2963	4991
447	2969	4984
448	2975	4977
449	2981	4969
450	2987	4960
451	2992	4952
452	2998	4944
453	3006	4940
454	3011	4931
455	3017	4923
456	3023	4915
457	3029	4908
458	3036	4901
459	3042	4894
460	3049	4888
461	3056	4882
462	3062	4874
463	3068	4868
464	3075	4861
465	3082	4854
466	3088	4847
467	3094	4840
468	3100	4833
469	3110	4831
470	3116	4824
471	3122	4816
472	3128	4809
473	3135	4801
474	3142	4796
475	3149	4790
476	3156	4784
477	3163	4778
478	3170	4772
479	3176	4765
480	3183	4758
481	3190	4752
482	3196	4744
483	3202	4737
484	3208	4729
485	3215	4723
486	3221	4716
487	3226	4708
488	3232	4700
489	3238	4692
490	3244	4684
491	3250	4677
492	3256	4670
493	3262	4663
494	3268	4655
495	3275	4648
496	3281	4642
497	3287	4634
498	3293	4627
499	3299	4618
500	3304	4610
501	3310	4603
502	3319	4599
503	3324	4590
504	3329	4582
505	3335	4575
506	3341	4567
507	3347	4560
508	3354	4553
509	3361	4548
510	3367	4540
511	3373	4533
512	3379	4525
513	3385	4518
514	3390	4510
515	3397	4503
516	3403	4496
517	3409	4489
518	3415	4482
519	3422	4475
520	3427	4467
521	3434	4460
522	3440	4453
523	3446	4445
524	3452	4438
525	3458	4431
526	3464	4424
527	3470	4416
528	3476	4409
529	3482	4402
530	3488	4394
531	3493	4386
532	3500	4380
533	3506	4372
534	3512	4366
535	3518	4358
536	3524	4351
537	3530	4343
538	3536	4336
539	3541	4329
540	3548	4322
541	3555	4316
542	3561	4309
543	3567	4301
544	3573	4294
545	3579	4287
546	3585	4280
547	3591	4273
548	3597	4266
549	3603	4258
550	3609	4250
551	3615	4243
552	3620	4236
553	3627	4229
554	3632	4221
555	3642	4219
556	3649	4212
557	3655	4205
558	3661	4198
559	3667	4191
560	3673	4183
561	3679	4177
562	3685	4170
563	3691	4163
564	3697	4156
565	3704	4149
566	3710	4142
567	3716	4134
568	3721	4127
569	3728	4121
570	3734	4114
571	3741	4107
572	3747	4100
573	3754	4094
574	3760	4087
575	3766	4080
576	3772	4073
577	3778	4066
578	3784	4059
579	3790	4052
580	3796	4044
581	3802	4037
582	3808	4030
583	3815	4024
584	3820	4016
585	3827	4010
586	3833	4003
587	3840	3997
588	3847	3990
589	3854	3985
590	3860	3978
591	3867	3972
592	3873	3965
593	3880	3959
594	3886	3951
595	3893	3945
596	3898	3938
597	3904	3930
598	3910	3923
599	3916	3916
600	3922	3909
601	3928	3902
602	3934	3895
603	3940	3888
604	3946	3881
605	3953	3875
606	3960	3868
607	3966	3862
608	3973	3855
609	3979	3849
610	3985	3842
611	3992	3835
612	3998	3828
613	4004	3822
614	4010	3815
615	4016	3808
616	4022	3800
617	4029	3794
618	4035	3787
619	4046	3785
620	4053	3779
621	4060	3773
622	4068	3767
623	4075	3761
624	4082	3755
625	4088	3749
626	4096	3743
627	4102	3736
628	4108	3729
629	4114	3722
630	4120	3716
631	4127	3709
632	4133	3702
633	4139	3695
634	4146	3689
635	4153	3682
636	4160	3677
637	4166	3670
638	4172	3663
639	4178	3656
640	4185	3649
641	4191	3642
642	4198	3636
643	4203	3629
644	4209	3621
645	4214	3614
646	4220	3607
647	4226	3600
648	4232	3593
649	4238	3586
650	4244	3579
651	4250	3572
652	4257	3566
653	4263	3559
654	4270	3553
655	4275	3545
656	4281	3538
657	4288	3532
658	4293	3524
659	4299	3517
660	4305	3510
661	4311	3504
662	4317	3497
663	4323	3490
664	4328	3482
665	4334	3475
666	4341	3468
667	4346	3461
668	4352	3454
669	4359	3448
670	4365	3441
671	4371	3434
672	4377	3427
673	4383	3420
674	4388	3413
675	4394	3406
676	4400	3399
677	4406	3392
678	4411	3385
679	4417	3378
680	4424	3371
681	4430	3364
682	4436	3358
683	4442	3351
684	4448	3344
685	4454	3337
686	4460	3330
687	4466	3324
688	4472	3317
689	4478	3309
690	4488	3306
691	4494	3299
692	4499	3292
693	4505	3285
694	4511	3278
695	4517	3271
696	4524	3265
697	4531	3258
698	4538	3252
699	4544	3245
700	4550	3239
701	4557	3233
702	4564	3226
703	4570	3220
704	4576	3213
705	4581	3205
706	4587	3199
707	4593	3192
708	4599	3185
709	4605	3178
710	4611	3171
711	4617	3165
712	4624	3158
713	4630	3152
714	4636	3145
715	4642	3138
716	4649	3132
717	4655	3125
718	4661	3118
719	4668	3112
720	4674	3105
721	4679	3098
722	4685	3091
723	4690	3084
724	4696	3077
725	4703	3070
726	4709	3063
727	4715	3057
728	4721	3050
729	4727	3043
730	4733	3036
731	4739	3030
732	4745	3023
733	4752	3017
734	4757	3010
735	4764	3003
736	4770	2996
737	4777	2990
738	4783	2983
739	4788	2976
740	4794	2970
741	4800	2963
742	4806	2956
743	4812	2949
744	4818	2943
745	4824	2936
746	4831	2929
747	4837	2923
748	4843	2916
749	4849	2909
750	4856	2903
751	4867	2899
752	4872	2892
753	4879	2886
754	4885	2879
755	4891	2872
756	4897	2866
757	4903	2859
758	4909	2852
759	4916	2846
760	4922	2839
761	4929	2833
762	4935	2826
763	4942	2820
764	4948	2813
765	4954	2807
766	4960	2800
767	4967	2794
768	4974	2787
769	4981	2781
770	4988	2775
771	4995	2769
772	5001	2762
773	5007	2756
774	5013	2749
775	5019	2742
776	5026	2736
777	5033	2730
778	5039	2723
779	5045	2717
780	5052	2710
781	5058	2704
782	5064	2697
783	5071	2691
784	5078	2684
785	5084	2678
786	5090	2671
787	5096	2664
788	5103	2658
789	5110	2652
790	5117	2645
791	5123	2639
792	5129	2632
793	5135	2626
794	5142	2619
795	5148	2613
796	5154	2606
797	5160	2599
798	5166	2593
799	5172	2586
800	5179	2580
801	5185	2573
802	5191	2566
803	5197	2559
804	5203	2553
805	5210	2547
806	5216	2540
807	5223	2534
808	5230	2527
809	5236	2521
810	5242	2514
811	5248	2507
812	5254	2501
813	5261	2494
814	5269	2489
815	5275	2482
816	5280	2475
817	5286	2468
818	5293	2462
819	5299	2456
820	5306	2449
821	5312	2443
822	5318	2436
823	5325	2429
824	5331	2423
825	5338	2416
826	5344	2410
827	5350	2403
828	5357	2397
829	5364	2391
830	5371	2385
831	5378	2378
832	5385	2372
833	5391	2366
834	5398	2359
835	5404	2353
836	5410	2346
837	5416	2339
838	5423	2333
839	5428	2326
840	5435	2320
841	5441	2313
842	5447	2306
843	5454	2300
844	5460	2294
845	5466	2287
846	5472	2280
847	5478	2274
848	5484	2267
849	5490	2260
850	5497	2254
851	5503	2247
852	5509	2241
853	5515	2234
854	5521	2228
855	5528	2221
856	5534	2215
857	5540	2208
858	5546	2201
859	5552	2195
860	5558	2188
861	5564	2181
862	5570	2175
863	5576	2168
864	5582	2162
865	5588	2155
866	5594	2148
867	5600	2142
868	5606	2135
869	5612	2128
870	5618	2122
871	5625	2115
872	5631	2109
873	5642	2104
874	5648	2098
875	5654	2091
876	5659	2084
877	5666	2078
878	5672	2071
879	5678	2065
880	5684	2058
881	5690	2051
882	5696	2045
883	5702	2038
884	5708	2031
885	5715	2025
886	5721	2018
887	5727	2012
888	5733	2005
889	5740	1999
890	5746	1992
891	5752	1986
892	5758	1979
893	5764	1973
894	5770	1966
895	5777	1960
896	5783	1953
897	5790	1947
898	5796	1940
899	5802	1934
900	5809	1927
901	5815	1921
902	5821	1914
903	5827	1908
904	5833	1901
905	5839	1895
906	5845	1888
907	5852	1882
908	5858	1875
909	5865	1869
910	5872	1862
911	5880	1857
912	5886	1850
913	5894	1844
914	5900	1837
915	5907	1831
916	5913	1825
917	5920	1818
918	5926	1812
919	5932	1805
920	5938	1798
921	5944	1792
922	5950	1785
923	5956	1779
924	5962	1772
925	5969	1766
926	5975	1759
927	5982	1753
928	5987	1746
929	5993	1740
930	5999	1733
931	6006	1727
932	6013	1720
933	6020	1714
934	6026	1708
935	6037	1702
936	6044	1696
937	6050	1690
938	6056	1683
939	6063	1677
940	6070	1670
941	6076	1664
942	6083	1657
943	6089	1651
944	6095	1644
945	6102	1638
946	6108	1632
947	6114	1625
948	6121	1619
949	6127	1612
950	6133	1605
951	6139	1599
952	6145	1592
953	6151	1586
954	6157	1579
955	6163	1573
956	6170	1566
957	6175	1560
958	6182	1553
959	6188	1547
960	6194	1540
961	6201	1534
962	6207	1527
963	6213	1521
964	6220	1514
965	6226	1508
966	6232	1501
967	6238	1495
968	6245	1488
969	6250	1482
970	6257	1475
971	6263	1469
972	6269	1462
973	6275	1456
974	6281	1449
975	6287	1443
976	6294	1436
977	6299	1430
978	6305	1423
979	6311	1416
980	6317	1410
981	6324	1403
982	6330	1397
983	6340	1391
984	6346	1385
985	6352	1378
986	6359	1372
987	6365	1365
988	6371	1359
989	6378	1352
990	6384	1346
991	6390	1340
992	6397	1333
993	6403	1327
994	6409	1320
995	6415	1314
996	6422	1307
997	6429	1301
998	6436	1294
999	6442	1288
1000	6449	1282
1001	6454	1275
1002	6461	1269
1003	6467	1262
1004	6475	1256
1005	6481	1249
1006	6487	1243
1007	6493	1236
1008	6500	1230
1009	6506	1224
1010	6513	1217
1011	6519	1211
1012	6525	1204
1013	6531	1198
1014	6537	1191
1015	6543	1185
1016	6549	1178
1017	6555	1172
1018	6561	1165
1019	6567	1158
1020	6573	1152
1021	6588	1147
1022	6594	1141
1023	6601	1134
1024	6607	1128
1025	6613	1121
1026	6619	1115
1027	6625	1108
1028	6631	1102
1029	6638	1095
1030	6644	1089
1031	6651	1082
1032	6657	1076
1033	6663	1069
1034	6669	1063
1035	6675	1056
1036	6681	1050
1037	6687	1043
1038	6693	1037
1039	6699	1030
1040	6705	1024
1041	6712	1017
1042	6718	1011
1043	6725	1004
1044	6731	998
1045	6737	991
1046	6743	985
1047	6748	978
1048	6755	972
1049	6762	966
1050	6768	959
1051	6774	953
1052	6781	946
1053	6787	940
1054	6793	933
1055	6799	927
1056	6805	920
1057	6811	914
1058	6817	907
1059	6823	901
1060	6830	894
1061	6836	888
1062	6842	881
1063	6848	875
1064	6854	868
1065	6860	862
1066	6866	855
1067	6872	849
1068	6878	842
1069	6884	836
1070	6890	829
1071	6897	823
1072	6903	817
1073	6910	810
1074	6916	804
1075	6922	797
1076	6929	791
1077	6935	784
1078	6941	778
1079	6946	771
1080	6952	765
1081	6958	758
1082	6964	752
1083	6970	745
1084	6975	739
1085	6981	732
1086	6987	726
1087	6993	719
1088	7000	713
1089	7007	707
1090	7014	700
1091	7021	694
1092	7027	687
1093	7034	681
1094	7041	675
1095	7047	668
1096	7054	662
1097	7064	656
1098	7070	649
1099	7076	643
1100	7082	636
1101	7089	630
1102	7096	624
1103	7102	617
1104	7109	611
1105	7116	604
1106	7123	598
1107	7128	591
1108	7134	585
1109	7140	578
1110	7147	572
1111	7154	566
1112	7161	559
1113	7166	553
1114	7172	546
1115	7178	540
1116	7185	533
1117	7191	527
1118	7197	521
1119	7204	514
1120	7210	508
1121	7216	501
1122	7223	495
1123	7230	488
1124	7236	482
1125	7242	475
1126	7248	469
1127	7254	463
1128	7260	456
1129	7266	450
1130	7272	443
1131	7279	437
1132	7284	430
1133	7290	424
1134	7297	417
1135	7303	411
1136	7309	405
1137	7316	398
1138	7322	392
1139	7328	385
1140	7333	379
1141	7339	372
1142	7345	366
1143	7351	359
1144	7358	353
1145	7363	346
1146	7370	340
1147	7377	334
1148	7384	327
1149	7390	321
1150	7396	314
1151	7407	308
1152	7413	302
1153	7419	295
1154	7425	289
1155	7431	282
1156	7438	276
1157	7444	270
1158	7450	263
1159	7455	257
1160	7462	250
1161	7468	244
1162	7473	237
1163	7479	231
1164	7486	224
1165	7493	218
1166	7500	212
1167	7506	205
1168	7513	199
1169	7518	192
1170	7525	186
1171	7531	179
1172	7537	173
1173	7543	167
1174	7549	160
1175	7555	154
1176	7561	147
1177	7567	141
1178	7572	134
1179	7578	128
1180	7584	122
1181	7590	115
1182	7597	109
1183	7604	102
1184	7614	96
1185	7620	89
1186	7626	83
1187	7632	77
1188	7637	70
1189	7643	64
1190	7650	57
1191	7656	51
1192	7662	44
1193	7669	38
1194	7675	32
1195	7681	25
1196	7688	19
1197	7695	12
1198	7702	6
1199	7708	0
